probmu ratio error
3.83 9.513281168433946e-10 2.127567915803578e-10
3.84 9.538001174951456e-10 2.133096274992399e-10
3.85 9.562849889439094e-10 2.1386535615207919e-10
3.86 9.594423473768842e-10 2.1457147421485412e-10
3.87 9.627535147720353e-10 2.1531198144689857e-10
3.88 9.662214495819576e-10 2.1608765618745416e-10
3.89 9.68906143801413e-10 2.166879779468859e-10
3.9 9.716057989160952e-10 2.1729173040539396e-10
3.91 9.760932712501848e-10 2.1829531831893782e-10
3.92 9.797957885758038e-10 2.191233561252285e-10
3.93 9.836652267348247e-10 2.1998871625005067e-10
3.94 9.871459907150744e-10 2.2076716817977876e-10
3.95 9.895270232717966e-10 2.2129965872762082e-10
3.96 9.92766750820063e-10 2.2202420445366033e-10
3.97 9.9588553806691e-10 2.2272173224903373e-10
3.98 9.98451885910175e-10 2.2329564259315276e-10
3.99 1.0016065524184196e-09 2.2400115477047157e-10
4.0 1.0024703786832163e-09 2.2419434262541393e-10
4.01 1.0066666315072993e-09 2.2513284202809263e-10
4.02 1.0110447119574619e-09 2.2611192419831366e-10
4.03 1.0141320960621578e-09 2.2680239012967582e-10
4.04 1.0164970794442051e-09 2.273312915798577e-10
4.05 1.0203637833967347e-09 2.2819604902697703e-10
4.06 1.0232081021987654e-09 2.2883216499299619e-10
4.07 1.0274287600298425e-09 2.297760994083742e-10
4.08 1.0306171749789526e-09 2.3048911756665695e-10
4.09 1.0345922651643003e-09 2.3137813315276067e-10
4.1 1.0372079748784313e-09 2.3196312645257448e-10
4.11 1.0398369501326825e-09 2.3255107162231498e-10
4.12 1.0427910321594755e-09 2.332117423344681e-10
4.13 1.2987096043119873e-09 2.6705740118174476e-10
4.14 1.4280490523743046e-09 2.835921685250241e-10
4.15 1.3077254803345422e-09 2.688992712359923e-10
4.16 1.0582983950049423e-09 2.366797983074603e-10
4.17 1.0611969602986262e-09 2.373281381860582e-10
4.18 1.0652491863575029e-09 2.3823431756472276e-10
4.19 1.0676954163252694e-09 2.387813832596029e-10
4.2 1.0729517630819133e-09 2.3995692231832545e-10
4.21 1.0769281073320832e-09 2.408462095910658e-10
4.22 1.0794283273614875e-09 2.414053608528475e-10
4.23 1.0821080620859058e-09 2.4200465399133213e-10
4.24 1.0848011286337027e-09 2.426069374400266e-10
4.25 1.089035981351864e-09 2.435540347721424e-10
4.26 1.0919346210337093e-09 2.442022921051318e-10
4.27 1.0965701923085805e-09 2.452390010717945e-10
4.28 1.1003765262042552e-09 2.4609025754499623e-10
4.29 1.7253918867957984e-09 3.2583520413584713e-10
4.3 1.3735375141167417e-09 2.824144146904094e-10
4.31 1.4205312081404457e-09 2.8857513344306777e-10
4.32 1.4686702681370946e-09 2.9496886186761263e-10
4.33 1.474308835572834e-09 2.9603087864134313e-10
4.34 1.523497764880236e-09 3.0251317784217904e-10
4.35 1.483172983485111e-09 2.9782108635288836e-10
4.36 2.343834606338773e-09 4.0086255430901763e-10
4.37 1.4917077933245914e-09 2.995395506226357e-10
4.38 1.4055425186674215e-09 2.890198772454495e-10
4.39 1.5004021083187291e-09 3.01287710575815e-10
4.4 1.4133477985409287e-09 2.906061126454165e-10
4.41 1.4660172240613316e-09 2.9781566428691803e-10
4.42 1.4689081222927843e-09 2.9842654315661284e-10
4.43 1.5192702767731908e-09 3.0516643395811063e-10
4.44 2.400088003777179e-09 4.1054186708971206e-10
4.45 1.435662585822321e-09 2.9519344697275554e-10
4.46 1.5787427237995189e-09 3.134987611695079e-10
4.47 1.4429721471765452e-09 2.966913565085422e-10
4.48 1.448382697667893e-09 2.9780994673871534e-10
4.49 1.5006904330187166e-09 3.0486250209915913e-10
4.5 1.5035539219925167e-09 3.0547446296280746e-10
4.51 1.649446644094169e-09 3.240263466474642e-10
4.52 1.4662503915162846e-09 3.0163524500022263e-10
4.53 1.5672539749437387e-09 3.147153927643731e-10
4.54 1.475652494977894e-09 3.034384079598681e-10
4.55 1.4814819839591872e-09 3.046495703302019e-10
4.56 1.5343287025877595e-09 3.117140000960204e-10
4.57 1.2016172337012741e-09 2.687319163822367e-10
4.58 1.2059807063284106e-09 2.697077708022879e-10
4.59 1.2097461271608967e-09 2.705499227291844e-10
4.6 1.2145918535497337e-09 2.7163358478790626e-10
4.61 1.2181985021117157e-09 2.72440181408324e-10
4.62 1.2222548938868856e-09 2.7334736059486515e-10
4.63 1.2274175395454703e-09 2.7450193509230014e-10
4.64 1.2311008750723168e-09 2.7532568372984135e-10
4.65 1.2339324881603983e-09 2.7595896148280755e-10
4.66 1.2376550886589894e-09 2.7679148870180895e-10
4.67 1.2407376729151151e-09 2.7748087452056697e-10
4.68 1.244057513928393e-09 2.7822333905771704e-10
4.69 1.2460579637453228e-09 2.7867073923217866e-10
4.7 1.2496302562626643e-09 2.7946962811396407e-10
4.71 1.2527728506705586e-09 2.8017244398837327e-10
4.72 1.2561574969529127e-09 2.809294029944557e-10
4.73 1.2597880102117757e-09 2.8174133640057834e-10
4.74 1.26343957636732e-09 2.8255796955728855e-10
4.75 1.266422085453861e-09 2.832249930385189e-10
4.76 1.2694187226324231e-09 2.838951569078161e-10
4.77 1.2740567086376636e-09 2.8493243473822867e-10
4.78 1.2775575058729335e-09 2.857153399128413e-10
4.79 1.2827269492518983e-09 2.86871475232184e-10
4.8 1.286512898557936e-09 2.877181742652203e-10
4.81 1.2915160109728776e-09 2.8883703627800163e-10
4.82 1.2941522469966094e-09 2.894266090487376e-10
4.83 1.2984893734006818e-09 2.9039658170129195e-10
4.84 1.3030991074519003e-09 2.914275659116801e-10
4.85 1.3067615557583982e-09 2.9224663447366095e-10
4.86 1.3116769653066046e-09 2.9334587907317083e-10
4.87 1.31538786566731e-09 2.9417578053937364e-10
4.88 1.318870359540068e-09 2.949546128455558e-10
4.89 1.3221206489256059e-09 2.9568155298320003e-10
4.9 1.3251351814046274e-09 2.9635568980317716e-10
4.91 1.3301900485682965e-09 2.9748617861322376e-10
4.92 1.3352836345170536e-09 2.986253209355395e-10
4.93 1.339129497519695e-09 2.99485496775879e-10
4.94 1.3435150184435458e-09 3.004661901646365e-10
4.95 1.349494276912262e-09 3.0180341567509373e-10
4.96 1.3536852532404425e-09 3.0274069007005315e-10
4.97 1.3565816884341163e-09 3.033884446893511e-10
4.98 1.3613481208437577e-09 3.0445445661727227e-10
4.99 1.3661481729838533e-09 3.055279247095042e-10
