probk ratio error
-2.18 6.503088726343187e-10 1.2774025276442315e-10
-2.17 6.689734797738938e-10 1.3005502553504397e-10
-2.16 6.692218946763826e-10 1.301024715133424e-10
-2.15 8.357859767012709e-10 1.7764084701210664e-10
-2.14 6.511083424944519e-10 1.2790123901030278e-10
-2.13 7.256789316538536e-10 1.3703286939888948e-10
-2.12 7.071483130814351e-10 1.3479464125512439e-10
-2.11 7.079710615224456e-10 1.3511223387513713e-10
-2.1 1.0243784329459183e-09 2.0628071376128958e-10
-2.09 6.523533043330041e-10 1.2813542700959575e-10
-2.08 6.706888800258867e-10 1.3040587275786816e-10
-2.07 1.0624319660102344e-09 1.7639006527060604e-10
-2.06 6.526941545980827e-10 1.2826568748393197e-10
-2.05 6.908179826558754e-10 1.329393316461865e-10
-2.04 6.719161520548203e-10 1.3062485608287155e-10
-2.03 8.487621535393153e-10 1.7776375200438368e-10
-2.02 6.725105182914041e-10 1.3073279150242034e-10
-2.01 6.543826507609112e-10 1.2852230804780341e-10
-2.0 7.470155138360859e-10 1.3980089030034955e-10
-1.99 6.726642364223665e-10 1.307721221901656e-10
-1.98 7.71938527608811e-10 1.7041419247231465e-10
-1.97 6.730280271993059e-10 1.3093004582160735e-10
-1.96 8.599313427053125e-10 1.5326824703017835e-10
-1.95 1.0477113685440312e-09 1.749281603526319e-10
-1.94 7.30341291897475e-10 1.378990353543101e-10
-1.93 6.92795412402307e-10 1.333413714729426e-10
-1.92 8.012100369487166e-10 1.723338074491089e-10
-1.91 6.932729147319415e-10 1.3343298902053043e-10
-1.9 7.875684979452036e-10 1.4485026228799896e-10
-1.89 7.315740562380694e-10 1.3835792270708368e-10
-1.88 6.941211411873603e-10 1.336029243620069e-10
-1.87 7.508857216952432e-10 1.4051482998811742e-10
-1.86 7.138240654631008e-10 1.3605952102392363e-10
-1.85 7.137511165853274e-10 1.3742986754097637e-10
-1.84 6.763750350966014e-10 1.3149648215522596e-10
-1.83 1.0339871614278573e-09 1.7371450353164202e-10
-1.82 6.76557979055724e-10 1.3153241291921015e-10
-1.81 7.342879535982827e-10 1.3864631991746521e-10
-1.8 7.150525010947733e-10 1.3629531679248048e-10
-1.79 9.035218810537183e-10 1.5870552266495527e-10
-1.78 6.787307832052096e-10 1.31921475618243e-10
-1.77 6.592243194980738e-10 1.2950426633312356e-10
-1.76 7.299902533047458e-10 1.6270495814747842e-10
-1.75 6.607881924090819e-10 1.3102287126079587e-10
-1.74 6.602080822198771e-10 1.2969087221266372e-10
-1.73 8.303650974894004e-10 1.5026665643240179e-10
-1.72 6.984348771781762e-10 1.3443162763929735e-10
-1.71 6.610499438454599e-10 1.2985802703680585e-10
-1.7 8.882830590516824e-10 1.5713156341284702e-10
-1.69 1.0391997435102298e-09 2.129632771879858e-10
-1.68 8.903601386796506e-10 1.9874250049488089e-10
-1.67 7.195968017169518e-10 1.3714202427507634e-10
-1.66 6.811668070600105e-10 1.324646744673433e-10
-1.65 7.197625332587919e-10 1.3719628391894522e-10
-1.64 6.819623334269537e-10 1.4640785232848292e-10
-1.63 9.755579867477513e-10 2.0681013209424245e-10
-1.62 7.973818550011382e-10 1.4663573379617195e-10
-1.61 6.831028057200262e-10 1.3285457706252845e-10
-1.6 6.651406778953025e-10 1.3104874989697715e-10
-1.59 8.74285823097175e-10 1.5579426285685743e-10
-1.58 6.844079783313205e-10 1.3305983864769366e-10
-1.57 7.037142647222537e-10 1.3545743140679092e-10
-1.56 7.808571722940076e-10 1.4530847996225062e-10
-1.55 7.80041181665238e-10 1.4471956710421944e-10
-1.54 6.666634059543251e-10 1.3095867339109064e-10
-1.53 6.859729633121829e-10 1.3335981617717285e-10
-1.52 7.063607531092557e-10 1.3592017813138282e-10
-1.51 7.434713639321975e-10 1.5813296442491144e-10
-1.5 8.397544361430114e-10 1.5196315769147134e-10
-1.49 6.877371968558494e-10 1.3369358084426678e-10
-1.48 6.687545867658343e-10 1.313724435044965e-10
-1.47 8.224840280808705e-10 1.500338044049068e-10
-1.46 6.694818942268479e-10 1.3151610355718758e-10
-1.45 8.71313850409098e-10 1.8524852472622517e-10
-1.44 9.83053680002461e-10 2.1875408153851817e-10
-1.43 7.096638769339071e-10 1.3658302782181193e-10
-1.42 7.293182751145622e-10 1.38998594149902e-10
-1.41 1.0746008306276202e-09 1.794232209558325e-10
-1.4 6.722953520844721e-10 1.320957445919926e-10
-1.39 6.972866311554988e-10 1.5537992392554304e-10
-1.38 6.725241916105915e-10 1.3213978441846328e-10
-1.37 7.311227307476263e-10 1.3969679939323751e-10
-1.36 7.704241723217302e-10 1.4417477465829014e-10
-1.35 9.687597799493136e-10 2.1232364209335717e-10
-1.34 1.0155417750998745e-09 2.1160141492442952e-10
-1.33 8.681067148592127e-10 1.5587330880916684e-10
-1.32 1.3580816901542113e-09 2.5493147193663614e-10
-1.31 7.543303096830486e-10 1.4241073739074185e-10
-1.3 6.765214497871089e-10 1.3289600105019499e-10
-1.29 6.972777924835734e-10 1.3552791308220844e-10
-1.28 9.403010898169119e-10 2.0824136137283703e-10
-1.27 7.169456847172135e-10 1.3798629447095236e-10
-1.26 7.171446846943611e-10 1.3804281435612072e-10
-1.25 1.1061052294225213e-09 1.836331185703609e-10
-1.24 7.773750272316191e-10 1.4582932991340483e-10
-1.23 7.578265496411772e-10 1.4310869758274326e-10
-1.22 8.452367859998246e-10 1.88125300517828e-10
-1.21 7.983492051369017e-10 1.4818292600723403e-10
-1.2 8.374778511069962e-10 1.5277074398936636e-10
-1.19 7.800292088070001e-10 1.4595008651511156e-10
-1.18 1.0721079306056112e-09 2.1420531533483756e-10
-1.17 7.214007408141272e-10 1.3886363222223683e-10
-1.16 7.229524016617338e-10 1.3912710207085969e-10
-1.15 7.032566785423071e-10 1.367203120924442e-10
-1.14 7.038778324142943e-10 1.368417103081061e-10
-1.13 7.20702063371911e-10 1.5896382442555214e-10
-1.12 7.251595082116275e-10 1.395705840313594e-10
-1.11 7.648492168821553e-10 1.4444065786786622e-10
-1.1 7.064818265057951e-10 1.3736016194873034e-10
-1.09 8.454599322156626e-10 1.5419596150675264e-10
-1.08 7.078401548303622e-10 1.3760740665700192e-10
-1.07 7.081357950499041e-10 1.37668146421887e-10
-1.06 6.889204111539414e-10 1.353484285517397e-10
-1.05 7.485285324402527e-10 1.42679487394191e-10
-1.04 7.891609801580348e-10 1.476630438925697e-10
-1.03 7.299979798484898e-10 1.4050320517904902e-10
-1.02 7.711234463574196e-10 1.455929781164231e-10
-1.01 8.124438084412488e-10 1.7804526445865301e-10
-1.0 6.731184338185694e-10 1.4206467565164248e-10
-0.99 7.135049035011092e-10 1.3871434730822953e-10
-0.98 6.741767268872801e-10 1.3387190741308864e-10
-0.97 7.536031920738921e-10 1.4368149987831067e-10
-0.96 6.751407606569743e-10 1.3412142483870907e-10
-0.95 9.505155491590063e-10 2.054525229222714e-10
-0.94 8.552189382133214e-10 1.5600474365721788e-10
-0.93 6.765476201190879e-10 1.3434569458866452e-10
-0.92 7.759997910839177e-10 1.4660767435946554e-10
-0.91 7.376121542926095e-10 1.4196124831346574e-10
-0.9 7.777139367232764e-10 1.46885108434768e-10
-0.89 6.784210522425214e-10 1.3470948161614603e-10
-0.88 6.797782811709298e-10 1.3496169611114026e-10
-0.87 6.796072645701919e-10 1.3495148649447255e-10
-0.86 1.1608155799416921e-09 1.9165942856352366e-10
-0.85 1.1290408818440338e-09 2.2560601274994933e-10
-0.84 8.221467602291477e-10 1.5249597947925066e-10
-0.83 7.426939256347129e-10 1.4293796402559787e-10
-0.82 1.0816830465515095e-09 2.190785319305219e-10
-0.81 8.243413590288171e-10 1.529070326486877e-10
-0.8 7.649166537473965e-10 1.4580269468415387e-10
-0.79 7.858025174589617e-10 1.4838416516840645e-10
-0.78 7.059322356081999e-10 1.3868951604655266e-10
-0.77 8.06706973036054e-10 1.685803188709341e-10
-0.76 7.076722786243008e-10 1.3901132164760678e-10
-0.75 7.687086851140666e-10 1.4653059970053657e-10
-0.74 7.089690600945499e-10 1.3927322613692756e-10
-0.73 7.104893392573671e-10 1.3955393515350552e-10
-0.72 1.1367050673749e-09 1.8979934824837873e-10
-0.71 8.495350028395147e-10 1.810851137164847e-10
-0.7 8.343174757582944e-10 1.5474954609934138e-10
-0.69 6.916754354777378e-10 1.3734911892185533e-10
-0.68 8.299271410033249e-10 1.7912776324230184e-10
-0.67 7.13718251025342e-10 1.4020481147221473e-10
-0.66 1.123625996670809e-09 1.8867296352285305e-10
-0.65 1.103810582794178e-09 1.8647566167279661e-10
-0.64 6.961989517245098e-10 1.3822991055578817e-10
-0.63 7.989610066364446e-10 1.5086874391251158e-10
-0.62 7.790759633806916e-10 1.4850847162764967e-10
-0.61 7.798915306582741e-10 1.486639012354666e-10
-0.6 9.989254253033569e-10 2.1732684807917447e-10
-0.59 7.819077040713614e-10 1.49041072118864e-10
-0.58 7.825663548939055e-10 1.4917550866478462e-10
-0.57 7.009244759777388e-10 1.3926921296264779e-10
-0.56 7.232146275062422e-10 1.4429209425160472e-10
-0.55 8.676347013527449e-10 1.5958058154024572e-10
-0.54 9.516569309282643e-10 1.6957126634990434e-10
-0.53 7.870061014125549e-10 1.5533920598836265e-10
-0.52 7.665005698077701e-10 1.4753507931394921e-10
-0.51 1.0164388773126002e-09 1.773036337197556e-10
-0.5 7.274304416655315e-10 1.4288102005518636e-10
-0.49 6.987626592846143e-10 1.5605308437020436e-10
-0.48 7.076260626797448e-10 1.405753932872019e-10
-0.47 8.552561931545467e-10 1.640163206300349e-10
-0.46 7.303814326042947e-10 1.442219223893196e-10
-0.45 7.306689823388826e-10 1.4357380445899484e-10
-0.44 9.414327659493725e-10 1.6903526439823189e-10
-0.43 7.757451105729832e-10 1.49289449714769e-10
-0.42 7.140003298477311e-10 1.4175876744367086e-10
-0.41 7.353973197718534e-10 1.4445893487563319e-10
-0.4 7.366144130137037e-10 1.4468203555207567e-10
-0.39 7.790880820000692e-10 1.4995763260134285e-10
-0.38 8.226628173107196e-10 1.553546092025491e-10
-0.37 8.872315697714874e-10 1.6317980891630603e-10
-0.36 8.037024688661327e-10 1.5318557596852634e-10
-0.35 7.619461928325283e-10 1.4815665603920897e-10
-0.34 7.20720026146935e-10 1.4312492618497351e-10
-0.33 1.0048902752058819e-09 2.207227701591485e-10
-0.32 7.229210804803571e-10 1.4353788262128578e-10
-0.31 8.478709150068035e-10 1.827990460783776e-10
-0.3 7.455997100997493e-10 1.4646352015325392e-10
-0.29 7.465370530836481e-10 1.4664896497366003e-10
-0.28 8.323738822132882e-10 1.6034597196617146e-10
-0.27 7.480743288089872e-10 1.4696075193980816e-10
-0.26 7.919000637564043e-10 1.5255437565977562e-10
-0.25 7.725868749803505e-10 1.5034956635579075e-10
-0.24 9.012633337539126e-10 1.6576556781519525e-10
-0.23 1.1041360797274663e-09 2.3177260620168104e-10
-0.22 7.967028423800852e-10 1.5334212712580047e-10
-0.21 1.0527942625799465e-09 2.269745773091311e-10
-0.2 1.2088911178673679e-09 2.0183848840676188e-10
-0.19 8.216996107381721e-10 1.5661378230436758e-10
-0.18 7.573110734498007e-10 1.4877353942884204e-10
-0.17 8.235061571167728e-10 1.5696377607983474e-10
-0.16 8.058886921493157e-10 1.7992827178652756e-10
-0.15 8.0374498331568e-10 1.5470060067593612e-10
-0.14 8.052346543492146e-10 1.5498567899440481e-10
-0.13 1.0689442946514658e-09 2.2604940184194304e-10
-0.12 1.2660714174563173e-09 2.0904350066656311e-10
-0.11 7.869778785299933e-10 1.5300348011267703e-10
-0.1 8.763303129459071e-10 1.6399126745232281e-10
-0.0900000000001 7.896447702533848e-10 1.5351283130091991e-10
-0.0800000000001 7.472005695631465e-10 1.4835321729698886e-10
-0.0700000000001 9.020369522136206e-10 1.67311148760403e-10
